Education,Male,Female
"No certificate/diploma/degree",46060,47165
Secondary School diploma or Equivalent,90495,92615
"Postsecondary certificate/diploma/degree",230890,254190
Apprenticeship or trades certificate/diploma,19635,11695
"College, CEGEP or other non-university certificate/diploma",67305,84800
University certificate/diploma below bachelor level,6065,8885
"University certificate/diploma/degree at bachelor level or above",137890,148810
Bachelor's Degree,81070,94875
University certificate/diploma above bachelor level,6865,9165
"Degree in medicine, dentistry, veterinary medicine or optometry",3355,3390
Master's Degree,36285,36190
Doctorate's Degree,10320,5195
